NABP,NPI,PROVIDER NAME,ADDRESS,ADDRESS LINE 2,CITY,STATE,POSTAL_ZIP,PHONE,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract)
3320936,1962515494,PRICE CHOPPER PHARMACY,1706 WESTERN AVE,,ALBANY,NY,12203,518-379-2409,ALBANY,42.687689,-73.858487,1,range_interpolation,1706,Western Ave,,,Albany,NY,12203,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Westmere,3680423,14609,1002,1,3.60E+14,36001014609
3350143,1033124110,WALGREENS #9154,1850 CENTRAL AVE,,ALBANY,NY,122054703,217-709-2351,ALBANY,42.731723,-73.849922,1,rooftop,1850,Central Ave,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Colonie,3617332,13901,2001,2,3.60E+14,36001013901
3302774,1780793166,RITE AID PHARMACY 04928,1863 CENTRAL AVENUE,,ALBANY,NY,122054221,717-975-5937,ALBANY,42.733257,-73.849865,1,rooftop,1863,Central Ave,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13804,1005,1,3.60E+14,36001013804
3390452,1962415380,PRICE CHOPPER PHARMACY,1892 CENTRAL AVE,,ALBANY,NY,12205,518-379-2409,ALBANY,42.734527,-73.85252,1,rooftop,1892,Central Ave,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Colonie,3617332,13901,2000,2,3.60E+14,36001013901
3339668,1780788547,CVS PHARMACY #01895,2040 WESTERN AVE ROUTE 155,,ALBANY,NY,12203,401-770-2751,ALBANY,42.696986,-73.887644,1,rooftop,2040,Western Ave,,,Albany,NY,12203,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Westmere,3680423,14614,3005,3,3.60E+14,36001014614
3329720,1750346672,"OPTUM INFUSION SERVICES 100, INC.",25 POST RD,SUITE 5,ALBANY,NY,12205,763-797-2809,ALBANY,42.723502,-73.853285,1,rooftop,25,Post Rd,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13804,4017,4,3.60E+14,36001013804
3342110,1295836898,CRESTWOOD PHARMACY,26 A PICOTTE DR,,ALBANY,NY,12208,518-435-2315,ALBANY,42.652287,-73.81217,1,range_interpolation,26,Picotte Dr,,,Albany,NY,12208,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Albany,3601000,1804,1010,1,3.60E+14,36001001804
5831234,1144854191,"GENOA HEALTHCARE, LLC",260 S PEARL ST,SUITE P,ALBANY,NY,122021809,413-348-3637,ALBANY,42.642574,-73.754781,1,rooftop,260,S Pearl St,,,Albany,NY,12202,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2500,3005,3,3.60E+14,36001002500
3392901,1992895692,LINCOLN PHARMACY,300 MORTON AVE,,ALBANY,NY,122092220,518-465-2253,ALBANY,42.645345,-73.771459,1,rooftop,300,Morton Ave,,,Albany,NY,12209,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2600,1000,1,3.60E+14,36001002600
3360865,1619191806,ST PETERS HOSPITAL OUTPATIENT PHARMACY,315 S MANNING BLVD,,ALBANY,NY,122081707,518-525-5537,ALBANY,42.657646,-73.803497,1,rooftop,315,S Manning Blvd,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,1700,3014,3,3.60E+14,36001001700
5824075,1093214074,"COMMUNITY, A WALGREENS PHARMACY #21158",33 NEW SCOTLAND AVE,STE 106,ALBANY,NY,122083560,217-709-2351,ALBANY,42.653744,-73.773691,1,rooftop,33,New Scotland Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2100,3003,3,3.60E+14,36001002100
3361019,1750516852,WALGREENS #9971,41 HOLLAND AVE.,,ALBANY,NY,122083408,217-709-2351,ALBANY,42.648405,-73.772954,1,rooftop,41,Holland Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2100,2008,2,3.60E+14,36001002100
3371983,1548364201,CVS PHARMACY #00600,415-419 DELAWARE AVENUE,,ALBANY,NY,12209,401-770-2751,ALBANY,42.641366,-73.781674,0.9,nearest_rooftop_match,419,Delaware Ave,,,Albany,NY,12209,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2000,1007,1,3.60E+14,36001002000
3358416,1013944941,ALBANY MEDICAL CENTER PHARMACY,43 NEW SCOTLAND AVE,,ALBANY,NY,122083478,518-262-3255,ALBANY,42.653124,-73.775297,1,rooftop,43,New Scotland Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2100,3002,3,3.60E+14,36001002100
5832072,1518564053,CAPITAL REGIONAL PHARMACY SERVICES,431 NEW KARNER ROAD,BLDG 4 SUITE 180,ALBANY,NY,12205,518-618-2843,ALBANY,42.737979,-73.842055,1,rooftop,431,New Karner Rd,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13804,1023,1,3.60E+14,36001013804
5822045,1134644271,WALGREENS #19884,463 ALBANY SHAKER ROAD,,ALBANY,NY,122111833,217-709-2351,ALBANY,42.705954,-73.775963,1,rooftop,463,Albany Shaker Rd,,,Loudonville,NY,12211,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Loudonville,3643566,13706,1014,1,3.60E+14,36001013706
3324338,1477651008,CVS PHARMACY #02702,465 SAND CREEK RD,,ALBANY,NY,12205,401-770-2751,ALBANY,42.716398,-73.811813,1,rooftop,465,Sand Creek Rd,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13703,1084,1,3.60E+14,36001013703
5811066,1932513819,PRICE CHOPPER PHARMACY,475 SHAKER ROAD,,ALBANY,NY,12211,518-379-2409,ALBANY,42.706232,-73.776703,1,range_interpolation,475,Shaker Rd,,,Albany,NY,12211,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Loudonville,3643566,13706,1014,1,3.60E+14,36001013706
3388166,1427158880,RITE AID PHARMACY,493 DELAWARE AVENUE,,ALBANY,NY,12209,717-975-5937,ALBANY,42.639104,-73.786603,0.9,nearest_rooftop_match,494,Delaware Ave,,,Albany,NY,12209,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2000,5002,5,3.60E+14,36001002000
5812107,1598189888,KABAFUSION NY,57 KARNER ROAD,STE B,ALBANY,NY,122054760,518-690-1060,ALBANY,42.726979,-73.854169,1,rooftop,57,Karner Rd,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13804,4016,4,3.60E+14,36001013804
3379763,1518061274,CVS PHARMACY #00744,613 NEW SCOTLAND AVENUE,,ALBANY,NY,12208,401-770-2751,ALBANY,42.657264,-73.803293,1,rooftop,613,New Scotland Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,1700,3014,3,3.60E+14,36001001700
5813301,1386031334,CENTRAL AVE PHARMACY,65 CENTRAL AVE,,ALBANY,NY,122062347,518-621-7748,ALBANY,42.658942,-73.765589,1,rooftop,65,Central Ave,,,Albany,NY,12206,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,800,2004,2,3.60E+14,36001000800
5807601,1477891893,TOWN TOTAL HEALTH,728 MADISON AVE,,ALBANY,NY,122083302,616-735-8014,ALBANY,42.658106,-73.778412,1,rooftop,728,Madison Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,1500,2005,2,3.60E+14,36001001500
3310884,1053419762,CVS PHARMACY #00417,885 CENTRAL AVE,,ALBANY,NY,12206,401-770-2751,ALBANY,42.681029,-73.789592,1,rooftop,885,Central Ave,,,Albany,NY,12206,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,302,1013,1,3.60E+14,36001000302
3359773,1689811515,HANNAFORD SUPERMARKET & PHARMACY,900 CENTRAL AVENUE,,ALBANY,NY,12206,207-885-7454,ALBANY,42.679264,-73.791961,1,rooftop,900,Central Ave,,,Albany,NY,12206,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,403,1000,1,3.60E+14,36001000403
5818301,1710420294,COLLEGE PARKSIDE PHARMACY,920 LARK DR,,ALBANY,NY,122071300,518-694-7213,ALBANY,42.661955,-73.748061,1,rooftop,920,Lark Dr,,,Albany,NY,12207,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,202,2011,2,3.60E+14,36001000202
3394676,1750499133,HANNAFORD FOOD AND DRUG,96 WOLF RD,,ALBANY,NY,12205,207-885-7454,ALBANY,42.717693,-73.81258,1,rooftop,96,Wolf Rd,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13703,1084,1,3.60E+14,36001013703
3325760,1306954789,HANNAFORD FOOD AND DRUG,5239 WESTERN TURNPIKE,,ALTAMONT,NY,12009,518-355-7411,ALBANY,42.718437,-73.940295,1,range_interpolation,5239,Western Turnpike,,,Altamont,NY,12009,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,,,14606,1007,1,3.60E+14,36001014606
5829847,1609417112,CARING WELLNESS PHARMACY,1097 LOUDON RD,,COHOES,NY,120474903,518-783-1210,ALBANY,42.777802,-73.748825,1,range_interpolation,1097,Loudon Rd,,,Cohoes,NY,12047,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,,,13503,2011,2,3.60E+14,36001013503
5833339,1720662547,MARRA'S PHARMACY,217 REMSEN ST,,COHOES,NY,120473099,518-237-2110,ALBANY,42.771058,-73.70028,1,rooftop,217,Remsen St,,,Cohoes,NY,12047,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Cohoes,3616749,12800,3000,3,3.60E+14,36001012800
3321685,1003910860,CVS PHARMACY #02743,485 COLUMBIA STREET,,COHOES,NY,12047,401-770-2751,ALBANY,42.772348,-73.728104,1,rooftop,485,Columbia St,,,Cohoes,NY,12047,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Cohoes,3616749,13000,5003,5,3.60E+14,36001013000
3340382,1851409239,HANNAFORD FOOD AND DRUG,180 DELAWARE AVE,,DELMAR,NY,12054,207-885-7454,ALBANY,42.628162,-73.811663,1,rooftop,180,Delaware Ave,,,Delmar,NY,12054,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14201,1000,1,3.60E+14,36001014201
3370981,1720182488,CVS PHARMACY #00375,260 DELAWARE AVE,,DELMAR,NY,120541123,401-770-2751,ALBANY,42.625594,-73.821989,1,rooftop,260,Delaware Ave,,,Delmar,NY,12054,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14202,1000,1,3.60E+14,36001014202
3335444,1154348381,WALMART PHARMACY 10-3583,311 ROUTE 9W,,GLENMONT,NY,12077,479-277-2500,ALBANY,42.605913,-73.790796,1,range_interpolation,311,US Hwy 9W,,,Glenmont,NY,12077,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,,,14201,3010,3,3.60E+14,36001014201
3326130,1275646655,PRICE CHOPPER PHARMACY,329 GLENMONT RD,TOWN SQUIRE PLAZA,GLENMONT,NY,120773469,518-379-2409,ALBANY,42.601664,-73.790287,1,rooftop,329,Glenmont Rd,,,Glenmont,NY,12077,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14201,4016,4,3.60E+14,36001014201
3315365,1780788539,CVS PHARMACY #01090,416 ROUTE 9W,,GLENMONT,NY,12077,401-770-2751,ALBANY,42.601419,-73.792008,1,range_interpolation,416,US Hwy 9W,,,Glenmont,NY,12077,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,,,14301,2020,2,3.60E+14,36001014301
3350749,1295789832,WALGREENS #9153,2061 WESTERN AVE,,GUILDERLAND,NY,120849559,217-709-2351,ALBANY,42.698399,-73.888709,1,rooftop,2061,Western Ave,,,Guilderland,NY,12084,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14617,1014,1,3.60E+14,36001014617
3334618,1215077532,FALLON WELLNESS PHARMACY,1057 TROY SCHENECTADY RD,,LATHAM,NY,12110,518-220-2005,ALBANY,42.765435,-73.808612,1,rooftop,1057,Troy Schenectady Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13512,2018,2,3.60E+14,36001013512
3333820,1033227418,HANNAFORD FOOD AND DRUG,579 TROY SCHENECTADY,,LATHAM,NY,12110,207-885-7454,ALBANY,42.755373,-73.762943,1,rooftop,579,Troy Schenectady Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Latham,3641399,13511,2010,2,3.60E+14,36001013511
5802219,1679863716,SAMS PHARMACY 10-6440,579 TROY SCHENECTADY RD,,LATHAM,NY,121102806,479-277-2500,ALBANY,42.755373,-73.762943,1,rooftop,579,Troy Schenectady Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Latham,3641399,13511,2010,2,3.60E+14,36001013511
3395806,1053414805,CVS PHARMACY #05047,584 NEW LOUDON RD,NEWTON PLZ RTE 9,LATHAM,NY,121104024,401-770-2751,ALBANY,42.751147,-73.760234,0.7,street_center,,New Loudon Rd,,,Latham,NY,12110,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Latham,3641399,13511,2013,2,3.60E+14,36001013511
3340077,1104848753,CVS PHARMACY #17033,675 TROY SCHENECTADY RD,,LATHAM,NY,12110,401-770-2751,ALBANY,42.755113,-73.772102,1,rooftop,675,Troy Schenectady Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13511,2012,2,3.60E+14,36001013511
3310872,1073611786,CVS PHARMACY #00415,750 LOUDON RD,,LATHAM,NY,12110,401-770-2751,ALBANY,42.742824,-73.762581,1,rooftop,750,Loudon Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Latham,3641399,13507,1010,1,3.60E+14,36001013507
3334860,1245257476,WALMART PHARMACY 10-1997,800 LOUDON RD,,LATHAM,NY,12110,479-277-2500,ALBANY,42.747341,-73.762985,1,rooftop,800,Loudon Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Latham,3641399,13507,1014,1,3.60E+14,36001013507
3302863,1114930344,PRICE CHOPPER PHARMACY,873 NEW LOUDON RD,,LATHAM,NY,12110,518-379-2409,ALBANY,42.755378,-73.758745,0.9,range_interpolation,873,New Loudon Rd,,,Latham,NY,12110,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Latham,3641399,13511,2010,2,3.60E+14,36001013511
5822019,1700302049,WALGREENS #19787,933 LOUDON ROAD,,LATHAM,NY,121102119,217-709-2351,ALBANY,42.762998,-73.754734,1,rooftop,933,Loudon Rd,,,Latham,NY,12110,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,13503,2022,2,3.60E+14,36001013503
3386465,1861593311,CVS PHARMACY #05037,2480 US ROUTE 9W STE 3,,RAVENA,NY,12143,401-770-2751,ALBANY,42.466961,-73.816229,1,range_interpolation,2480,US Hwy 9W,Ste,3,Ravena,NY,12143,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,,,14401,2031,2,3.60E+14,36001014401
3317650,1295848943,PRICE CHOPPER PHARMACY,1395 NEW SCOTLAND AVENUE,,SLINGERLANDS,NY,12159,518-379-2409,ALBANY,42.639208,-73.857035,0.95,rooftop,1395,New Scotland Rd,,,Slingerlands,NY,12159,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14100,4004,4,3.60E+14,36001014100
3316711,1295889392,HANNAFORD SUPERMARKET & PHARMACY,5 MAPLE ROAD,,VOORHEESVILLE,NY,12186,207-885-7454,ALBANY,42.648989,-73.924567,0.99,rooftop,5:00 AM,Maple Rd,,,Voorheesville,NY,12186,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Voorheesville,3677684,14503,2000,2,3.60E+14,36001014503
5822069,1861917924,WALGREENS #19948,1901 SECOND AVENUE,,WATERVLIET,NY,121892211,217-709-2351,ALBANY,42.730872,-73.702072,1,rooftop,1901,2nd Ave,,,Watervliet,NY,12189,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Watervliet,3678674,13200,3027,3,3.60E+14,36001013200
3347780,1144335183,CONNECTRX HOMETOWN,601 19TH ST,,WATERVLIET,NY,12189,518-273-1402,ALBANY,42.731425,-73.7056,1,rooftop,601,19th St,,,Watervliet,NY,12189,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Watervliet,3678674,13300,3029,3,3.60E+14,36001013300
3386415,1285746297,ALFRED PHARMACY INC,36 N MAIN ST,,ALFRED,NY,14802,607-587-9222,ALLEGANY,42.255083,-77.789956,1,rooftop,36,N Main St,,,Alfred,NY,14802,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Alfred,3601198,950800,3010,3,3.60E+14,36003950800
3375602,1881805992,NICHOLSON PHARMACY INC,36 SCHUYLER ST,,BELMONT,NY,148131015,585-268-7287,ALLEGANY,42.222917,-78.032076,0.9,nearest_rooftop_match,35,Schuyler St,,,Belmont,NY,14813,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Belmont,3605815,950600,2029,2,3.60E+14,36003950600
3361665,1689656852,CUBA MEMORIAL HOSPITAL PHARMACY,140 W MAIN STREET,,CUBA,NY,147271398,585-968-2000,ALLEGANY,42.212967,-78.288292,1,rooftop,140,W Main St,,,Cuba,NY,14727,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Cuba,3619356,950500,1037,1,3.60E+14,36003950500
3395313,1598754327,CUBA PHARMACY,2 CENTER ST,,CUBA,NY,147271002,585-968-3111,ALLEGANY,42.221661,-78.278316,1,rooftop,2,Center St,,,Cuba,NY,14727,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Cuba,3619356,950500,1015,1,3.60E+14,36003950500
3329910,1093704843,FILLMORE PHARMACY,10560 RTE 19,,FILLMORE,NY,14735,585-567-2228,ALLEGANY,42.45974,-78.112205,1,range_interpolation,10560,State Rte 19,,,Fillmore,NY,14735,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36003,Fillmore,3625747,950300,1049,1,3.60E+14,36003950300
3331600,1336464825,FRIENDSHIP PHARMACY,9 W MAIN ST,,FRIENDSHIP,NY,147399701,585-973-3496,ALLEGANY,42.207965,-78.134377,1,rooftop,9,W Main St,,,Friendship,NY,14739,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Friendship,3627694,950600,3006,3,3.60E+14,36003950600
3356676,1457532418,WALGREENS #12381,10 NORTH MAIN STREET,,WELLSVILLE,NY,148951232,217-709-2351,ALLEGANY,42.120198,-77.94548,1,range_interpolation,10,N Main St,,,Wellsville,NY,14895,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36003,Wellsville,3679092,950700,3030,3,3.60E+14,36003950700
5822970,1619491552,WALGREENS #18976,110 BOLIVAR ROAD,,WELLSVILLE,NY,148959303,217-709-2351,ALLEGANY,42.128071,-77.963146,1,rooftop,110,Bolivar Rd,,,Wellsville,NY,14895,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Wellsville,3679092,951100,1024,1,3.60E+14,36003951100
3347831,1851380679,FISHER'S PHARMACY,138 N MAIN ST,,WELLSVILLE,NY,14895,585-593-2611,ALLEGANY,42.122225,-77.948199,1,rooftop,138,N Main St,,,Wellsville,NY,14895,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36003,Wellsville,3679092,950700,2034,2,3.60E+14,36003950700
3372567,1407846785,E JEROME PHARMACY INC,1 E 183RD ST,,BRONX,NY,104531242,718-364-2248,BRONX,40.858681,-73.90331,1,rooftop,1,E 183rd St,,,Bronx,NY,10453,US,City of New York,2021,36,36005,New York,3651000,23900,4000,4,3.60E+14,36005023900
3364926,1568785897,METCARE RX,1 FORDHAM PLZ,,BRONX,NY,10458,718-741-9505,BRONX,40.860759,-73.890107,1,rooftop,1,Fordham Plz,,,Bronx,NY,10458,US,City of New York,2021,36,36005,New York,3651000,38700,1000,1,3.60E+14,36005038700
5812878,1255729331,A1 HEALTH PHARMACY,1003 OGDEN AVE,,BRONX,NY,104525104,251-408-7261,BRONX,40.83311,-73.929433,1,rooftop,1003,Ogden Ave,,,Bronx,NY,10452,US,City of New York,2021,36,36005,New York,3651000,18900,4002,4,3.60E+14,36005018900
3338781,1952475675,BARRETTO PHARMACY,1009 LONGWOOD AVE,,BRONX,NY,10459,718-893-2000,BRONX,40.816866,-73.896824,1,rooftop,1009,Longwood Ave,,,Bronx,NY,10459,US,City of New York,2021,36,36005,New York,3651000,8900,2002,2,3.60E+14,36005008900
5809352,1245661453,"SIMPSON PHARMACY,INC",1015 SOUTHERN BLVD,,BRONX,NY,104593309,718-328-1080,BRONX,40.823251,-73.891998,1,rooftop,1015,Southern Blvd,,,Bronx,NY,10459,US,City of New York,2021,36,36005,New York,3651000,15900,1000,1,3.60E+14,36005015900
3306190,1720099377,R AND S PIONEER PHARMACY,1018 OGDEN AVE,,BRONX,NY,10452,718-538-8183,BRONX,40.833399,-73.928924,1,rooftop,1018,Ogden Ave,,,Bronx,NY,10452,US,City of New York,2021,36,36005,New York,3651000,18900,4001,4,3.60E+14,36005018900
5822083,1023529336,GOOD CARE PHARMACY,1026 E 163RD ST,,BRONX,NY,104594309,718-991-1400,BRONX,40.820814,-73.89207,1,rooftop,1026,E 163rd St,,,Bronx,NY,10459,US,City of New York,2021,36,36005,New York,3651000,8900,1000,1,3.60E+14,36005008900
3389447,1558475442,J AND C PHARMACY,1027A MORRIS PARK AVE,,BRONX,NY,104611410,718-822-7869,BRONX,40.848638,-73.855449,1,rooftop,1027,Morris Park Ave,,,Bronx,NY,10461,US,City of New York,2021,36,36005,New York,3651000,25200,1000,1,3.60E+14,36005025200
3349897,1174616502,SJS PHARMACY INC.,105-107 E BURNSIDE AVE,,BRONX,NY,10453,718-933-1222,BRONX,40.853157,-73.905271,0.9,nearest_rooftop_match,105,E Burnside Ave,,,Bronx,NY,10453,US,City of New York,2021,36,36005,New York,3651000,24100,5000,5,3.60E+14,36005024100
5817070,1700235074,EAST TREMONT PHARMACY,1065 E TREMONT AVE,,BRONX,NY,10460,718-861-0382,BRONX,40.840353,-73.879144,1,rooftop,1065,E Tremont Ave,,,Bronx,NY,10460,US,City of New York,2021,36,36005,New York,3651000,36100,3001,3,3.60E+14,36005036100
5812323,1497152706,BOCA PHARMACY,1070 SOUTHERN BLVD,,BRONX,NY,104593268,718-618-7878,BRONX,40.825197,-73.89173,1,rooftop,1070,Southern Blvd,,,Bronx,NY,10459,US,City of New York,2021,36,36005,New York,3651000,12701,1003,1,3.60E+14,36005012701
